angol       ;07005;72,39 %
arab        ;05705;73,44 %
bolgár      ;04791;62,81 %
cseh        ;03319;57,76 %
dán         ;03449;67,61 %
finn        ;06065;68,43 %
francia     ;05680;62,31 %
görög       ;05645;63,61 %
héber       ;04060;71,87 %
hindi       ;04798;72,20 %
horvát      ;04584;67,71 %
ír          ;04440;64,35 %
japán       ;05248;77,08 %
latin       ;03808;65,68 %
lengyel     ;04208;65,35 %
mandarin    ;04985;62,23 %
német       ;05969;63,46 %
olasz       ;06142;75,20 %
orosz       ;04160;58,56 %
örmény      ;05938;74,30 %
portugál    ;04999;74,03 %
román       ;00004;75,00 %
spanyol     ;05875;83,15 %
svéd        ;04729;68,87 %
szerb       ;05440;69,80 %
szuahéli    ;00009;88,89 %
thai        ;05707;59,80 %
török       ;06445;73,31 %
ukrán       ;04599;77,82 %
